measure_date,fact_name,area_nm,stack_code,nox_measure,nox_stdr,sox_measure,sox_stdr,tsp_measure,tsp_stdr
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,10,,34.0,,,,
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,11,5.95,34.0,,,,
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,12,5.94,34.0,,,,
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,15,5.94,40.0,,40.0,,9.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,16,4.46,40.0,7.36,40.0,1.74,9.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,3,1.88,10.0,3.03,15.0,1.74,5.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,4,1.88,15.0,3.03,25.0,1.74,5.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,5,20.29,56.0,0.01,48.0,1.74,11.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,6,20.29,56.0,0.01,48.0,1.74,11.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,7,5.97,34.0,0.01,48.0,1.74,11.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,8,7.83,34.0,0.01,48.0,1.74,11.0
1743791400000000000,한국중부발전㈜보령발전본부,충청남도,9,7.83,34.0,0.01,48.0,1.74,11.0
1743791400000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.83,15.0,0.01,25.0,1.74,5.0
1743791400000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.83,15.0,0.01,25.0,1.74,5.0
1743791400000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.83,12.8,0.01,20.0,1.74,4.0
1743791400000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.83,50.0,0.01,50.0,1.74,16.0
1743791400000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.83,50.0,0.01,50.0,1.74,16.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,10,7.83,34.0,0.01,50.0,1.74,16.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,11,5.94,34.0,0.01,50.0,1.74,16.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,12,5.95,34.0,0.01,50.0,1.74,16.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,15,5.95,40.0,0.01,40.0,1.74,9.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,16,4.04,40.0,7.21,40.0,1.73,9.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,3,2.41,10.0,2.96,15.0,1.82,5.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,4,2.41,15.0,2.96,25.0,1.82,5.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.04,48.0,3.28,11.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.04,48.0,3.28,11.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,7,6.09,34.0,0.04,48.0,3.28,11.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,8,7.68,34.0,0.04,48.0,3.28,11.0
1743793200000000000,한국중부발전㈜보령발전본부,충청남도,9,7.68,34.0,0.04,48.0,3.28,11.0
1743793200000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.68,15.0,0.04,25.0,3.28,5.0
1743793200000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.68,15.0,0.04,25.0,3.28,5.0
1743793200000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.68,12.8,0.04,20.0,3.28,4.0
1743793200000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.68,50.0,0.04,50.0,3.28,16.0
1743793200000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.68,50.0,0.04,50.0,3.28,16.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,10,7.68,34.0,0.04,50.0,3.28,16.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,11,5.88,34.0,0.04,50.0,3.28,16.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,12,5.93,34.0,0.04,50.0,3.28,16.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,15,5.93,40.0,0.04,40.0,3.28,9.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,16,3.94,40.0,7.64,40.0,1.72,9.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,3,2.59,10.0,2.71,15.0,1.85,5.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,4,2.59,15.0,2.71,25.0,1.85,5.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.03,48.0,3.45,11.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.03,48.0,3.45,11.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,7,6.5,34.0,0.03,48.0,3.45,11.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,8,7.63,34.0,0.03,48.0,3.45,11.0
1743795000000000000,한국중부발전㈜보령발전본부,충청남도,9,7.63,34.0,0.03,48.0,3.45,11.0
1743795000000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.63,15.0,0.03,25.0,3.45,5.0
1743795000000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.63,15.0,0.03,25.0,3.45,5.0
1743795000000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.63,12.8,0.03,20.0,3.45,4.0
1743795000000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.63,50.0,0.03,50.0,3.45,16.0
1743795000000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.63,50.0,0.03,50.0,3.45,16.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,10,7.63,34.0,0.03,50.0,3.45,16.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,11,5.82,34.0,0.03,50.0,3.45,16.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,12,5.91,34.0,0.03,50.0,3.45,16.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,15,5.91,40.0,0.03,40.0,3.45,9.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,16,3.84,40.0,7.68,40.0,1.75,9.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,3,1.76,10.0,2.9,15.0,1.83,5.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,4,1.76,15.0,2.9,25.0,1.83,5.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.0,48.0,3.38,11.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.0,48.0,3.38,11.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,7,6.45,34.0,0.0,48.0,3.38,11.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,8,7.45,34.0,0.0,48.0,3.38,11.0
1743796800000000000,한국중부발전㈜보령발전본부,충청남도,9,7.45,34.0,0.0,48.0,3.38,11.0
1743796800000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.45,15.0,0.0,25.0,3.38,5.0
1743796800000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.45,15.0,0.0,25.0,3.38,5.0
1743796800000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.45,12.8,0.0,20.0,3.38,4.0
1743796800000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.45,50.0,0.0,50.0,3.38,16.0
1743796800000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.45,50.0,0.0,50.0,3.38,16.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,10,7.45,34.0,0.0,50.0,3.38,16.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,11,5.8,34.0,0.0,50.0,3.38,16.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,12,5.91,34.0,0.0,50.0,3.38,16.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,15,5.91,40.0,0.0,40.0,3.38,9.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,16,3.87,40.0,7.75,40.0,1.75,9.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,3,1.15,10.0,2.79,15.0,1.82,5.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,4,1.15,15.0,2.79,25.0,1.82,5.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.07,48.0,3.38,11.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.07,48.0,3.38,11.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,7,6.42,34.0,0.07,48.0,3.38,11.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,8,7.39,34.0,0.07,48.0,3.38,11.0
1743798600000000000,한국중부발전㈜보령발전본부,충청남도,9,7.39,34.0,0.07,48.0,3.38,11.0
1743798600000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.39,15.0,0.07,25.0,3.38,5.0
1743798600000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.39,15.0,0.07,25.0,3.38,5.0
1743798600000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.39,12.8,0.07,20.0,3.38,4.0
1743798600000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.39,50.0,0.07,50.0,3.38,16.0
1743798600000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.39,50.0,0.07,50.0,3.38,16.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,10,7.39,34.0,0.07,50.0,3.38,16.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,11,5.42,34.0,0.07,50.0,3.38,16.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,12,7.86,34.0,0.07,50.0,3.38,16.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,15,7.86,40.0,0.07,40.0,3.38,9.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,16,4.25,40.0,7.88,40.0,1.71,9.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,3,1.47,10.0,2.79,15.0,1.82,5.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,4,1.47,15.0,2.79,25.0,1.82,5.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.03,48.0,3.41,11.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.03,48.0,3.41,11.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,7,6.48,34.0,0.03,48.0,3.41,11.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,8,7.4,34.0,0.03,48.0,3.41,11.0
1743800400000000000,한국중부발전㈜보령발전본부,충청남도,9,7.4,34.0,0.03,48.0,3.41,11.0
1743800400000000000,한국중부발전㈜신보령발전본부,충청남도,1,7.4,15.0,0.03,25.0,3.41,5.0
1743800400000000000,한국중부발전㈜신보령발전본부,충청남도,2,7.4,15.0,0.03,25.0,3.41,5.0
1743800400000000000,한국중부발전㈜신서천발전본부,충청남도,1,7.4,12.8,0.03,20.0,3.41,4.0
1743800400000000000,한국중부발전㈜신서천발전본부,충청남도,2,7.4,50.0,0.03,50.0,3.41,16.0
1743800400000000000,한국중부발전㈜신서천발전본부,충청남도,3,7.4,50.0,0.03,50.0,3.41,16.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,10,7.4,34.0,0.03,50.0,3.41,16.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,11,12.83,34.0,0.03,50.0,3.41,16.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,12,12.83,34.0,0.03,50.0,3.41,16.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,15,12.83,40.0,0.03,40.0,3.41,9.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,16,4.01,40.0,7.98,40.0,1.72,9.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,3,0.75,10.0,2.85,15.0,1.93,5.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,4,0.75,15.0,2.85,25.0,1.93,5.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,5,23.905,56.0,0.2,48.0,3.4,11.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,6,23.905,56.0,0.2,48.0,3.4,11.0
1743802200000000000,한국중부발전㈜보령발전본부,충청남도,7,6.54,34.0,0.2,48.0,3.4,11.0
