speed,direction,temperature,humidity,sun_sa,total_cloud
0.0,0.0,-0.6,74.0,0.0,3.0
0.0,0.0,-1.2,78.0,0.0,3.0
0.4,0.0,-1.7,79.0,0.0,3.0
0.0,0.0,-2.6,83.0,0.0,3.0
0.8,20.0,-2.1,76.0,0.0,3.0
1.0,20.0,-2.6,80.0,0.0,3.0
1.1,20.0,-2.9,82.0,0.0,3.0
0.8,20.0,-3.2,81.0,0.0,3.0
1.1,20.0,-3.1,79.0,0.0,3.0
0.1,0.0,-1.7,74.0,0.6,3.0
0.0,0.0,1.7,67.0,1.0,3.0
1.6,360.0,2.9,45.0,1.0,3.0
0.9,20.0,3.4,40.0,0.9,3.0
1.1,50.0,3.9,43.0,0.7,3.0
1.2,250.0,4.2,40.0,0.9,3.0
1.3,360.0,4.3,46.0,1.0,3.0
0.5,270.0,3.9,46.0,1.0,3.0
0.6,230.0,2.8,55.0,1.0,3.0
0.0,0.0,0.3,67.0,0.0,3.0
0.1,0.0,-0.4,75.0,0.0,3.0
0.1,0.0,-0.9,81.0,0.0,3.0
0.8,50.0,-1.2,80.0,0.0,3.0
0.9,20.0,-1.4,83.0,0.0,3.0
1.1,20.0,-1.7,86.0,0.0,3.0
0.7,20.0,-1.7,87.0,0.0,3.0
0.5,20.0,-2.1,90.0,0.0,3.0
1.0,20.0,-2.5,92.0,0.0,3.0
0.7,20.0,-2.3,94.0,0.0,3.0
0.7,20.0,-2.7,95.0,0.0,3.0
0.7,20.0,-2.7,95.0,0.0,3.0
0.6,20.0,-2.7,96.0,0.0,3.0
0.8,20.0,-2.5,96.0,0.0,3.0
0.7,20.0,-2.0,96.0,0.0,3.0
1.0,50.0,-0.8,96.0,0.0,3.0
1.3,20.0,0.8,93.0,0.0,3.0
0.0,0.0,3.3,82.0,0.1,3.0
0.2,0.0,3.8,82.0,0.0,3.0
0.5,20.0,4.3,82.0,0.0,3.0
0.8,340.0,4.6,82.0,0.0,3.0
2.3,360.0,3.9,77.0,0.0,3.0
2.5,360.0,3.2,65.0,0.0,3.0
1.4,360.0,2.0,61.0,0.0,3.0
1.3,340.0,1.0,60.0,0.0,3.0
1.9,360.0,0.4,54.0,0.0,3.0
1.8,20.0,0.0,52.0,0.0,3.0
0.0,0.0,-1.0,62.0,0.0,3.0
0.0,0.0,-2.3,70.0,0.0,3.0
0.1,0.0,-1.8,65.0,0.0,3.0
1.5,360.0,-0.8,60.0,0.0,3.0
2.0,340.0,-1.5,62.0,0.0,3.0
2.2,360.0,-2.2,63.0,0.0,3.0
2.3,20.0,-2.4,58.0,0.0,3.0
1.4,20.0,-2.7,57.0,0.0,3.0
0.5,50.0,-3.0,60.0,0.0,3.0
0.5,70.0,-3.8,64.0,0.0,3.0
0.0,0.0,-4.9,71.0,0.0,3.0
0.3,0.0,-4.9,75.0,0.0,3.0
0.8,50.0,-3.8,71.0,0.6,3.0
1.3,20.0,-1.4,60.0,1.0,3.0
1.4,340.0,0.2,57.0,1.0,3.0
2.2,20.0,0.0,57.0,1.0,3.0
1.2,340.0,1.6,53.0,1.0,3.0
1.5,320.0,2.0,55.0,1.0,3.0
1.4,320.0,0.9,52.0,1.0,3.0
1.5,340.0,0.1,53.0,1.0,3.0
1.7,340.0,-1.0,59.0,0.4,3.0
1.2,20.0,-1.7,63.0,0.0,3.0
0.9,20.0,-2.1,67.0,0.0,3.0
0.1,0.0,-2.8,72.0,0.0,3.0
0.1,0.0,-3.6,76.0,0.0,3.0
0.5,20.0,-3.3,76.0,0.0,3.0
1.2,50.0,-2.3,74.0,0.0,3.0
1.6,360.0,-2.0,74.0,0.0,3.0
3.0,20.0,-2.7,73.0,0.0,3.0
1.8,360.0,-3.2,71.0,0.0,3.0
2.7,360.0,-3.5,71.0,0.0,3.0
2.0,340.0,-3.7,64.0,0.0,3.0
1.7,20.0,-4.1,65.0,0.0,3.0
1.4,20.0,-4.3,63.0,0.0,3.0
2.0,20.0,-4.6,61.0,0.0,3.0
1.6,20.0,-4.9,60.0,0.0,3.0
1.6,20.0,-4.5,59.0,0.0,3.0
1.8,20.0,-3.5,59.0,0.4,3.0
2.8,360.0,-2.6,59.0,0.5,3.0
1.6,20.0,-1.9,55.0,1.0,3.0
2.0,20.0,-1.2,56.0,1.0,3.0
1.6,360.0,-0.8,53.0,0.4,3.0
2.4,360.0,-0.5,52.0,0.2,3.0
2.1,340.0,-0.7,54.0,0.0,3.0
1.6,360.0,-0.9,55.0,0.0,3.0
1.5,20.0,-1.1,56.0,0.0,3.0
1.6,360.0,-1.5,59.0,0.0,3.0
1.4,360.0,-1.9,62.0,0.0,3.0
0.6,360.0,-2.2,64.0,0.0,3.0
1.1,360.0,-2.2,64.0,0.0,3.0
0.9,20.0,-2.8,66.0,0.0,3.0
1.3,20.0,-3.0,70.0,0.0,3.0
0.3,0.0,-3.2,71.0,0.0,3.0
0.2,0.0,-3.5,74.0,0.0,3.0
0.1,0.0,-3.5,72.0,0.0,3.0
0.2,0.0,-3.4,75.0,0.0,3.0
0.9,20.0,-3.5,76.0,0.0,3.0
0.4,0.0,-3.5,73.0,0.0,3.0
0.1,0.0,-3.5,73.0,0.0,3.0
0.2,0.0,-3.5,72.0,0.0,3.0
0.4,0.0,-2.6,70.0,0.0,3.0
1.2,20.0,-0.5,67.0,0.0,3.0
2.1,360.0,0.0,65.0,0.3,3.0
2.3,360.0,1.3,64.0,0.9,3.0
0.8,320.0,2.4,64.0,0.8,3.0
1.1,270.0,2.9,63.0,1.0,3.0
1.4,290.0,3.7,64.0,0.6,3.0
1.3,290.0,2.1,64.0,0.7,3.0
1.1,320.0,1.6,69.0,0.2,3.0
1.2,340.0,1.7,73.0,0.0,3.0
1.4,360.0,1.3,74.0,0.0,3.0
0.8,360.0,0.7,76.0,0.0,3.0
0.1,0.0,-0.6,81.0,0.0,3.0
0.3,0.0,0.0,80.0,0.0,3.0
0.9,360.0,-0.1,76.0,0.0,3.0
0.0,0.0,-0.7,79.0,0.0,3.0
1.5,340.0,-0.2,71.0,0.0,3.0
1.2,360.0,-1.0,71.0,0.0,3.0
0.3,0.0,-1.5,70.0,0.0,3.0
0.1,0.0,-2.7,72.0,0.0,3.0
0.4,0.0,-3.2,76.0,0.0,3.0
0.6,20.0,-3.1,74.0,0.0,3.0
1.0,20.0,-3.7,78.0,0.0,3.0
1.0,20.0,-4.0,80.0,0.0,3.0
0.8,50.0,-2.5,75.0,0.6,3.0
1.0,70.0,0.6,62.0,1.0,3.0
1.2,360.0,1.9,61.0,1.0,3.0
2.1,340.0,2.7,61.0,1.0,3.0
0.9,290.0,3.9,55.0,1.0,3.0
1.5,340.0,4.4,49.0,1.0,3.0
1.3,320.0,4.4,48.0,1.0,3.0
1.2,320.0,3.7,52.0,1.0,3.0
1.7,340.0,2.5,52.0,1.0,3.0
1.3,340.0,1.1,56.0,0.0,3.0
0.3,0.0,-0.9,66.0,0.0,3.0
0.3,0.0,-1.5,71.0,0.0,3.0
0.8,50.0,-2.0,73.0,0.0,3.0
0.2,0.0,-2.3,75.0,0.0,3.0
1.0,20.0,-2.8,79.0,0.0,3.0
1.1,20.0,-3.3,79.0,0.0,3.0
1.2,50.0,-3.9,81.0,0.0,3.0
1.1,50.0,-4.2,84.0,0.0,3.0
1.3,50.0,-4.5,82.0,0.0,3.0
0.7,20.0,-4.4,81.0,0.0,3.0
0.4,0.0,-4.8,78.0,0.0,3.0
0.2,0.0,-4.2,79.0,0.0,3.0
